サクラマス(control),体長(height)[cm],体長(length)[cm],体長(縦)に対する中心線から腹までの割合(l_h / h)[%],体長(縦)に対する正中線から下腹までの比,縦横比,体重[g],,,,,,,,
1,5,21,64.5,0.65,0.24,138.79,,,,,,,,
2,4.8,17.3,74.7,0.75,0.28,96.63,,,,,,,,
3,5.7,20.7,67.8,0.68,0.28,203.9,,,,,,,,
4,4.8,18,74.6,0.75,0.27,88.98,,,,,,,,
5,4.4,19.7,63.4,0.63,0.22,116.75,,,,,,,,
6,5.5,22.5,62.1,0.62,0.24,164.07,,,,,,,,
7,4.9,20.9,59.5,0.60,0.23,133.58,,,,,,,,
8,5.4,21.8,60.6,0.61,0.25,161.6,,,,,,,,
9,5.8,20.2,69.1,0.69,0.29,139.77,,,,,,,,
10,5.4,22,62.8,0.63,0.25,162.06,,,,,,,,
11,5.1,19.1,67.2,0.67,0.27,99.44,,,,,,,,
12,4.8,19.5,58.9,0.59,0.25,114.25,,,,,,,,
13,5.8,21.5,65.4,0.65,0.27,175.84,,,,,,,,
14,4.5,19.5,60.3,0.60,0.23,107.45,,,,,,,,
15,4,18.2,59.4,0.59,0.22,77.75,,,,,,,,
,,,,,,,,,,,,,,
サクラマス(test),体長(height)[cm],体長(length)[cm],体長(縦)に対する中心線から腹までの割合(l_h / h)[%],体長(縦)に対する正中線から下腹までの比,縦横比,体重[g],,,,,,,,
1,4,13.3,62.8,0.63,0.30,79.21,,,,,,,,
2,4.2,15.1,63.6,0.64,0.28,85.56,,,,,,,,
3,3.8,17,67.9,0.68,0.22,83.2,,,,,,,,
4,4.1,19.1,64.7,0.65,0.21,99.2,,,,,,,,
5,4.9,19.4,66.1,0.66,0.25,138,,,,,,,,
6,6.4,23.4,63.1,0.63,0.27,229.25,,,,,,,,
7,3.9,18.7,61.2,0.61,0.21,88.55,,,,,,,,
8,4.8,18.9,70.5,0.71,0.25,125.12,,,,,,,,
9,4.7,20.3,63.3,0.63,0.23,126.18,,,,,,,,
10,4.7,19.3,69.9,0.70,0.24,136.74,,,,,,,,
11,4,18.1,59.4,0.59,0.22,118.27,,,,,,,,
12,4.6,20,69.1,0.69,0.23,130.03,,,,,,,,
13,4.4,18.1,62.7,0.63,0.24,89.02,,,,,,,,
14,4.9,19.4,66.3,0.66,0.25,122.69,,,,,,,,
15,5.7,21.6,68.3,0.68,0.26,182.83,,,,,,,,
,,,,,,,,,,,,,,
